gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	ADAMDEC1 FLC	Activated T	Arterial EC	B cell	BEST4 enterocyte	CD8 T cell	F3 FLC	FCER2 B cell	Glial cell	Goblet cell	IL2RG	IgA plasma cell	IgG plasma cell	Inflammatory FLC	LAMP3+ DC	Macrophage	Monocyte	Paneth cell	TA	Tfh	Treg	Tuft	Venous EC	activated B cell	cDC1	cDC2	crypt	cycling B cell	cycling myeloid	cycling plasma	early enterocyte	enterocyte	enteroendocrine	gd T cell	lymphatic EC	mast cells	memory B cell	myofibroblast	naïve CD4 T	pDC	pericyte
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS00FB3CB09	0.01	0.14	0.007	0.017	0.0	0.19	0.028	0.01	0.0	0.011	0.0	0.011	0.018	0.014	0.0	2.425	4.341	0.006	0.011	0.0	0.021	0.0	0.007	0.023	0.827	1.046	0.016	0.009	0.205	0.025	0.004	0.012	0.053	0.294	0.016	0.212	0.038	0.017	0.092	0.0	0.02
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS022AE18AF	0.01	0.14	0.007	0.017	0.0	0.19	0.028	0.01	0.0	0.011	0.0	0.011	0.018	0.014	0.0	2.425	4.341	0.006	0.011	0.0	0.021	0.0	0.007	0.023	0.827	1.046	0.016	0.009	0.205	0.025	0.004	0.012	0.053	0.294	0.016	0.212	0.038	0.017	0.092	0.0	0.02
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS0F3D40856	0.01	0.14	0.007	0.017	0.0	0.19	0.028	0.01	0.0	0.011	0.0	0.011	0.018	0.014	0.0	2.425	4.341	0.006	0.011	0.0	0.021	0.0	0.007	0.023	0.827	1.046	0.016	0.009	0.205	0.025	0.004	0.012	0.053	0.294	0.016	0.212	0.038	0.017	0.092	0.0	0.02
TNF	P01375	False	TNFA_HUMAN		CPI-SS072E1E27A	0.005	0.499	0.0	0.241	0.016	0.14	0.0	0.022	0.0	0.003	0.1	0.001	0.006	0.011	0.064	0.512	0.788	0.0	0.0	0.095	0.257	0.0	0.004	0.0	0.167	0.123	0.004	0.111	0.039	0.0	0.004	0.002	0.0	0.074	0.092	0.0	0.06	0.0	0.024	0.0	0.0
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS0917CBD53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS079FD6EC6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KIR2DL1	P43626	False	KI2L1_HUMAN		CPI-SS0ABD11350	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VSTM1	Q6UX27	False	VSTM1_HUMAN		CPI-SS064281234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CXCL9	Q07325	False	CXCL9_HUMAN		CPI-SS0D26F639E	0.339	0.032	0.601	0.0	0.029	0.0	0.157	0.064	0.162	0.022	0.06	0.008	0.012	0.341	1.955	1.218	5.366	0.035	0.01	0.068	0.0	0.0	0.654	0.049	1.101	0.643	0.013	0.022	0.106	0.029	0.039	0.034	0.13	0.041	0.262	0.183	0.015	0.011	0.018	0.0	1.963
CXCL9	Q07325	False	CXCL9_HUMAN		CPI-SS02246DA17	0.339	0.032	0.601	0.0	0.029	0.0	0.157	0.064	0.162	0.022	0.06	0.008	0.012	0.341	1.955	1.218	5.366	0.035	0.01	0.068	0.0	0.0	0.654	0.049	1.101	0.643	0.013	0.022	0.106	0.029	0.039	0.034	0.13	0.041	0.262	0.183	0.015	0.011	0.018	0.0	1.963
CXCL9	Q07325	False	CXCL9_HUMAN		CPI-SS0F52745F3	0.339	0.032	0.601	0.0	0.029	0.0	0.157	0.064	0.162	0.022	0.06	0.008	0.012	0.341	1.955	1.218	5.366	0.035	0.01	0.068	0.0	0.0	0.654	0.049	1.101	0.643	0.013	0.022	0.106	0.029	0.039	0.034	0.13	0.041	0.262	0.183	0.015	0.011	0.018	0.0	1.963
CXCL9	Q07325	False	CXCL9_HUMAN		CPI-SS0C17BB772	0.339	0.032	0.601	0.0	0.029	0.0	0.157	0.064	0.162	0.022	0.06	0.008	0.012	0.341	1.955	1.218	5.366	0.035	0.01	0.068	0.0	0.0	0.654	0.049	1.101	0.643	0.013	0.022	0.106	0.029	0.039	0.034	0.13	0.041	0.262	0.183	0.015	0.011	0.018	0.0	1.963
CD274	Q9NZQ7	False	PD1L1_HUMAN		CPI-SS016EE0084	0.008	0.077	0.015	0.0	0.0	0.0	0.021	0.003	0.0	0.017	0.331	0.009	0.028	0.046	1.026	0.14	0.713	0.0	0.01	0.047	0.064	0.0	0.04	0.047	0.0	0.133	0.016	0.0	0.162	0.0	0.023	0.034	0.026	0.002	0.062	0.0	0.034	0.021	0.037	0.0	0.012
CD274	Q9NZQ7	False	PD1L1_HUMAN		CPI-SS08F13AD5C	0.008	0.077	0.015	0.0	0.0	0.0	0.021	0.003	0.0	0.017	0.331	0.009	0.028	0.046	1.026	0.14	0.713	0.0	0.01	0.047	0.064	0.0	0.04	0.047	0.0	0.133	0.016	0.0	0.162	0.0	0.023	0.034	0.026	0.002	0.062	0.0	0.034	0.021	0.037	0.0	0.012
PDCD1LG2	Q9BQ51	False	PD1L2_HUMAN		CPI-SS0F5B6B186	0.047	0.0	0.022	0.0	0.0	0.0	0.016	0.004	0.099	0.0	0.0	0.004	0.006	0.054	0.635	0.088	0.12	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.003	0.004	0.0	0.023	0.072	0.0	0.0	0.004	0.0	0.0	0.02
CNTF	P26441	False	CNTF_HUMAN		CPI-SS0D795AC00	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0B02DE712	0.068	0.019	0.005	0.0	0.0	0.0	2.256	0.026	0.0	0.01	0.007	0.001	0.007	0.556	0.0	0.061	0.879	0.002	0.0	0.0	0.0	0.0	0.042	0.066	0.0	0.361	0.001	0.0	0.234	0.0	0.001	0.002	0.0	0.0	0.048	0.0	0.0	0.231	0.005	0.0	0.089
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS076BC3BA6	0.068	0.019	0.005	0.0	0.0	0.0	2.256	0.026	0.0	0.01	0.007	0.001	0.007	0.556	0.0	0.061	0.879	0.002	0.0	0.0	0.0	0.0	0.042	0.066	0.0	0.361	0.001	0.0	0.234	0.0	0.001	0.002	0.0	0.0	0.048	0.0	0.0	0.231	0.005	0.0	0.089
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS09375CA29	0.068	0.019	0.005	0.0	0.0	0.0	2.256	0.026	0.0	0.01	0.007	0.001	0.007	0.556	0.0	0.061	0.879	0.002	0.0	0.0	0.0	0.0	0.042	0.066	0.0	0.361	0.001	0.0	0.234	0.0	0.001	0.002	0.0	0.0	0.048	0.0	0.0	0.231	0.005	0.0	0.089
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS00A953C3A	0.068	0.019	0.005	0.0	0.0	0.0	2.256	0.026	0.0	0.01	0.007	0.001	0.007	0.556	0.0	0.061	0.879	0.002	0.0	0.0	0.0	0.0	0.042	0.066	0.0	0.361	0.001	0.0	0.234	0.0	0.001	0.002	0.0	0.0	0.048	0.0	0.0	0.231	0.005	0.0	0.089
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0BF9FA3F2	0.068	0.019	0.005	0.0	0.0	0.0	2.256	0.026	0.0	0.01	0.007	0.001	0.007	0.556	0.0	0.061	0.879	0.002	0.0	0.0	0.0	0.0	0.042	0.066	0.0	0.361	0.001	0.0	0.234	0.0	0.001	0.002	0.0	0.0	0.048	0.0	0.0	0.231	0.005	0.0	0.089
EGF	P01133	False	EGF_HUMAN		CPI-SS0F4D30D5A	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.001	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TGFA	P01135	False	TGFA_HUMAN		CPI-SS0E25CE362	0.001	0.012	0.003	0.0	0.085	0.0	0.0	0.0	0.0	0.074	0.211	0.003	0.001	0.002	0.076	0.035	0.072	0.002	0.028	0.0	0.0	0.209	0.007	0.0	0.0	0.055	0.05	0.0	0.0	0.0	0.057	0.149	0.006	0.0	0.087	0.0	0.0	0.0	0.005	0.0	0.0
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0055264F3	0.54	0.977	0.918	0.497	0.436	0.569	0.813	0.857	0.628	0.022	0.057	0.22	0.253	0.756	0.599	1.408	1.126	0.007	0.016	0.201	0.597	0.0	0.821	0.432	0.805	1.089	0.028	0.315	0.884	0.248	0.005	0.018	0.057	1.589	1.842	0.742	0.785	0.522	0.569	0.659	0.531
MIF	P14174	False	MIF_HUMAN		CPI-SS00EDDD458	3.535	3.415	2.535	4.316	2.728	2.995	5.275	3.203	3.198	3.035	2.679	2.651	2.792	4.777	1.508	1.888	2.482	2.542	5.948	4.682	4.433	5.747	2.813	2.12	2.474	1.653	4.99	5.349	2.75	5.93	2.63	2.126	5.352	4.839	4.341	3.464	2.844	5.036	2.375	1.642	3.25
MIF	P14174	False	MIF_HUMAN		CPI-SS0ABC5C1B8	3.535	3.415	2.535	4.316	2.728	2.995	5.275	3.203	3.198	3.035	2.679	2.651	2.792	4.777	1.508	1.888	2.482	2.542	5.948	4.682	4.433	5.747	2.813	2.12	2.474	1.653	4.99	5.349	2.75	5.93	2.63	2.126	5.352	4.839	4.341	3.464	2.844	5.036	2.375	1.642	3.25
AREG	P15514	False	AREG_HUMAN		CPI-SS0481D83A4	0.026	0.246	0.05	0.06	0.569	0.145	1.217	0.354	0.099	1.043	1.181	0.284	0.462	0.103	0.484	0.221	1.451	0.131	0.3	1.11	0.195	0.0	0.025	0.369	0.284	1.464	0.389	0.127	0.095	0.047	0.058	0.04	0.098	1.049	0.014	27.943	0.173	0.057	0.66	0.452	0.186
AREG	P15514	False	AREG_HUMAN		CPI-SS0D4C221B8	0.026	0.246	0.05	0.06	0.569	0.145	1.217	0.354	0.099	1.043	1.181	0.284	0.462	0.103	0.484	0.221	1.451	0.131	0.3	1.11	0.195	0.0	0.025	0.369	0.284	1.464	0.389	0.127	0.095	0.047	0.058	0.04	0.098	1.049	0.014	27.943	0.173	0.057	0.66	0.452	0.186
GRN	P28799	False	GRN_HUMAN		CPI-SS08CA619FE	1.879	0.229	1.843	0.697	2.144	0.187	2.871	0.46	1.828	1.472	1.461	0.437	0.724	1.36	3.266	10.25	6.962	0.463	0.889	0.181	0.316	1.791	2.456	1.391	3.437	5.71	1.026	0.477	5.323	0.56	1.036	1.42	1.203	0.166	3.13	0.834	1.38	2.072	0.326	3.278	1.688
GRN	P28799	False	GRN_HUMAN		CPI-SS0DA033F03	1.879	0.229	1.843	0.697	2.144	0.187	2.871	0.46	1.828	1.472	1.461	0.437	0.724	1.36	3.266	10.25	6.962	0.463	0.889	0.181	0.316	1.791	2.456	1.391	3.437	5.71	1.026	0.477	5.323	0.56	1.036	1.42	1.203	0.166	3.13	0.834	1.38	2.072	0.326	3.278	1.688
GRN	P28799	False	GRN_HUMAN		CPI-SS054D158CC	1.879	0.229	1.843	0.697	2.144	0.187	2.871	0.46	1.828	1.472	1.461	0.437	0.724	1.36	3.266	10.25	6.962	0.463	0.889	0.181	0.316	1.791	2.456	1.391	3.437	5.71	1.026	0.477	5.323	0.56	1.036	1.42	1.203	0.166	3.13	0.834	1.38	2.072	0.326	3.278	1.688
GRN	P28799	False	GRN_HUMAN		CPI-SS0C4E86714	1.879	0.229	1.843	0.697	2.144	0.187	2.871	0.46	1.828	1.472	1.461	0.437	0.724	1.36	3.266	10.25	6.962	0.463	0.889	0.181	0.316	1.791	2.456	1.391	3.437	5.71	1.026	0.477	5.323	0.56	1.036	1.42	1.203	0.166	3.13	0.834	1.38	2.072	0.326	3.278	1.688
BTC	P35070	False	BTC_HUMAN		CPI-SS0A19E9C34	0.0	0.0	0.005	0.0	0.08	0.0	0.014	0.0	0.0	0.116	0.033	0.0	0.0	0.002	0.0	0.0	0.001	0.013	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.038	0.0	0.017	0.012	0.171	0.0	0.0	0.0	0.001	0.05	0.0	0.0	0.071
BTC	P35070	False	BTC_HUMAN		CPI-SS06BC4D123	0.0	0.0	0.005	0.0	0.08	0.0	0.014	0.0	0.0	0.116	0.033	0.0	0.0	0.002	0.0	0.0	0.001	0.013	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.038	0.0	0.017	0.012	0.171	0.0	0.0	0.0	0.001	0.05	0.0	0.0	0.071
COPA	P53621	False	COPA_HUMAN		CPI-SS088A0A760	0.423	0.375	0.654	0.471	0.823	0.295	0.461	0.321	0.287	0.934	0.938	0.281	0.27	0.531	0.324	0.575	0.618	0.299	0.847	0.303	0.399	0.209	0.667	0.247	0.216	0.519	0.671	0.551	0.424	0.411	0.741	0.925	0.68	0.413	0.309	0.292	0.418	0.567	0.267	1.017	0.655
COPA	P53621	False	COPA_HUMAN		CPI-SS0302E8E8F	0.423	0.375	0.654	0.471	0.823	0.295	0.461	0.321	0.287	0.934	0.938	0.281	0.27	0.531	0.324	0.575	0.618	0.299	0.847	0.303	0.399	0.209	0.667	0.247	0.216	0.519	0.671	0.551	0.424	0.411	0.741	0.925	0.68	0.413	0.309	0.292	0.418	0.567	0.267	1.017	0.655
COPA	P53621	False	COPA_HUMAN		CPI-SS0E6E8A727	0.423	0.375	0.654	0.471	0.823	0.295	0.461	0.321	0.287	0.934	0.938	0.281	0.27	0.531	0.324	0.575	0.618	0.299	0.847	0.303	0.399	0.209	0.667	0.247	0.216	0.519	0.671	0.551	0.424	0.411	0.741	0.925	0.68	0.413	0.309	0.292	0.418	0.567	0.267	1.017	0.655
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS0C10824C7	0.04	0.061	0.792	0.032	0.395	0.0	0.038	0.021	0.0	0.301	0.991	0.03	0.01	0.065	0.0	0.433	1.322	0.009	0.259	0.0	0.0	0.0	0.186	0.021	0.0	0.294	0.354	0.029	0.039	0.006	0.298	0.25	0.284	0.0	0.079	0.092	0.027	0.0	0.043	0.0	0.057
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS0632A027A	0.04	0.061	0.792	0.032	0.395	0.0	0.038	0.021	0.0	0.301	0.991	0.03	0.01	0.065	0.0	0.433	1.322	0.009	0.259	0.0	0.0	0.0	0.186	0.021	0.0	0.294	0.354	0.029	0.039	0.006	0.298	0.25	0.284	0.0	0.079	0.092	0.027	0.0	0.043	0.0	0.057
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS03098AC28	0.04	0.061	0.792	0.032	0.395	0.0	0.038	0.021	0.0	0.301	0.991	0.03	0.01	0.065	0.0	0.433	1.322	0.009	0.259	0.0	0.0	0.0	0.186	0.021	0.0	0.294	0.354	0.029	0.039	0.006	0.298	0.25	0.284	0.0	0.079	0.092	0.027	0.0	0.043	0.0	0.057
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS05D23BCE8	0.41	0.99	0.029	0.101	0.037	0.444	0.042	0.128	0.861	0.042	0.174	0.017	0.06	1.069	1.3	1.925	3.447	0.04	0.087	0.394	0.491	0.0	0.048	0.08	0.523	1.94	0.161	0.033	0.936	0.006	0.165	0.07	0.142	0.123	0.094	0.092	0.164	0.089	0.29	0.904	0.311
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS03C51D352	0.41	0.99	0.029	0.101	0.037	0.444	0.042	0.128	0.861	0.042	0.174	0.017	0.06	1.069	1.3	1.925	3.447	0.04	0.087	0.394	0.491	0.0	0.048	0.08	0.523	1.94	0.161	0.033	0.936	0.006	0.165	0.07	0.142	0.123	0.094	0.092	0.164	0.089	0.29	0.904	0.311
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS03133B4F2	0.41	0.99	0.029	0.101	0.037	0.444	0.042	0.128	0.861	0.042	0.174	0.017	0.06	1.069	1.3	1.925	3.447	0.04	0.087	0.394	0.491	0.0	0.048	0.08	0.523	1.94	0.161	0.033	0.936	0.006	0.165	0.07	0.142	0.123	0.094	0.092	0.164	0.089	0.29	0.904	0.311
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS0F00D756A	0.41	0.99	0.029	0.101	0.037	0.444	0.042	0.128	0.861	0.042	0.174	0.017	0.06	1.069	1.3	1.925	3.447	0.04	0.087	0.394	0.491	0.0	0.048	0.08	0.523	1.94	0.161	0.033	0.936	0.006	0.165	0.07	0.142	0.123	0.094	0.092	0.164	0.089	0.29	0.904	0.311
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS0E2863F09	0.41	0.99	0.029	0.101	0.037	0.444	0.042	0.128	0.861	0.042	0.174	0.017	0.06	1.069	1.3	1.925	3.447	0.04	0.087	0.394	0.491	0.0	0.048	0.08	0.523	1.94	0.161	0.033	0.936	0.006	0.165	0.07	0.142	0.123	0.094	0.092	0.164	0.089	0.29	0.904	0.311
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS09648FAA9	0.41	0.99	0.029	0.101	0.037	0.444	0.042	0.128	0.861	0.042	0.174	0.017	0.06	1.069	1.3	1.925	3.447	0.04	0.087	0.394	0.491	0.0	0.048	0.08	0.523	1.94	0.161	0.033	0.936	0.006	0.165	0.07	0.142	0.123	0.094	0.092	0.164	0.089	0.29	0.904	0.311
APP	P05067	False	A4_HUMAN		CPI-SS09808DEAE	1.339	0.144	6.658	0.064	1.067	0.091	2.16	0.207	3.899	1.79	1.405	0.089	0.045	2.394	0.34	0.31	0.38	0.512	1.57	0.222	0.057	3.045	4.085	0.084	0.301	0.349	1.635	0.027	0.21	0.086	0.696	0.524	1.542	0.049	4.993	0.0	0.142	1.838	0.274	3.539	2.23
SPN	P16150	False	LEUK_HUMAN		CPI-SS09C4FCB90	0.012	1.161	0.031	0.132	0.092	1.11	0.039	0.058	0.55	0.009	0.012	0.093	0.065	0.027	0.143	0.16	0.36	0.027	0.014	0.725	0.628	0.0	0.031	0.099	0.873	0.511	0.017	0.174	0.56	0.264	0.009	0.014	0.025	0.994	0.052	0.355	0.163	0.052	0.567	1.317	0.009
ITGAL	P20701	False	ITAL_HUMAN		CPI-SS0E9A581F8	0.022	0.549	0.021	0.532	0.007	0.584	0.013	0.217	0.161	0.002	0.012	0.071	0.065	0.031	0.064	0.145	0.312	0.006	0.018	0.811	0.535	0.0	0.033	0.007	0.231	0.23	0.021	0.413	0.061	0.19	0.009	0.015	0.0	0.578	0.026	0.289	0.265	0.014	0.309	0.135	0.024
FASLG	P48023	False	TNFL6_HUMAN		CPI-SS0A4F27388	0.0	0.101	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.0	0.003	0.0	0.002	0.067	0.008	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.499	0.012	0.0	0.0	0.0	0.0	0.0	0.0
FASLG	P48023	False	TNFL6_HUMAN		CPI-SS0049FD74F	0.0	0.101	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.0	0.003	0.0	0.002	0.067	0.008	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.499	0.012	0.0	0.0	0.0	0.0	0.0	0.0
FASLG	P48023	False	TNFL6_HUMAN		CPI-SS03A0C857B	0.0	0.101	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.0	0.003	0.0	0.002	0.067	0.008	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.499	0.012	0.0	0.0	0.0	0.0	0.0	0.0
NTF3	P20783	False	NTF3_HUMAN		CPI-SS004A073E1	0.246	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.002	0.004	0.005	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.011	0.016	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.194	0.0	0.0	0.346
NTF3	P20783	False	NTF3_HUMAN		CPI-SS0ADA587B4	0.246	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.002	0.004	0.005	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.011	0.016	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.194	0.0	0.0	0.346
GPI	P06744	False	G6PI_HUMAN		CPI-SS0B1AB068C	0.365	0.558	0.371	0.5	0.351	0.25	0.362	0.25	0.247	0.464	0.527	0.101	0.117	0.426	0.229	0.397	0.49	0.167	1.105	0.58	0.426	0.081	0.41	0.105	0.171	0.311	0.856	0.54	0.509	0.36	0.667	0.457	0.622	0.465	0.299	0.304	0.289	0.379	0.272	0.0	0.529
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS0391D4602	0.827	0.446	0.98	0.26	0.452	0.167	0.863	0.253	0.615	0.532	2.503	0.176	0.213	3.254	1.533	2.286	9.604	0.318	0.722	0.38	1.59	0.162	2.041	0.265	1.503	2.635	0.863	0.272	1.446	0.47	0.739	0.617	0.715	0.333	0.653	0.916	0.137	1.064	0.316	0.314	1.075
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS00A6D366F	0.827	0.446	0.98	0.26	0.452	0.167	0.863	0.253	0.615	0.532	2.503	0.176	0.213	3.254	1.533	2.286	9.604	0.318	0.722	0.38	1.59	0.162	2.041	0.265	1.503	2.635	0.863	0.272	1.446	0.47	0.739	0.617	0.715	0.333	0.653	0.916	0.137	1.064	0.316	0.314	1.075
AIMP1	Q12904	False	AIMP1_HUMAN		CPI-SS05D1A6BEF	0.464	0.567	0.47	0.643	0.363	0.423	0.522	0.43	0.428	0.547	0.53	0.19	0.205	0.468	0.092	0.383	0.578	0.225	0.78	0.543	0.554	0.29	0.676	0.332	0.312	0.612	0.747	0.454	0.449	0.404	0.514	0.501	0.77	0.431	0.878	1.104	0.401	0.615	0.573	0.358	0.734
SELE	P16581	False	LYAM2_HUMAN		CPI-SS06F83AE58	0.0	0.0	0.549	0.0	0.0	0.0	0.051	0.0	0.0	0.003	0.009	0.0	0.004	0.019	0.0	0.0	0.005	0.005	0.0	0.0	0.0	0.0	3.78	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.008	0.0	0.005
SELE	P16581	False	LYAM2_HUMAN		CPI-SS0BDC04683	0.0	0.0	0.549	0.0	0.0	0.0	0.051	0.0	0.0	0.003	0.009	0.0	0.004	0.019	0.0	0.0	0.005	0.005	0.0	0.0	0.0	0.0	3.78	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.008	0.0	0.005
NRG4	Q8WWG1	False	NRG4_HUMAN		CPI-SS074CF011C	0.009	0.0	0.0	0.0	0.044	0.0	0.038	0.0	0.0	0.001	0.0	0.006	0.001	0.004	0.0	0.0	0.001	0.003	0.001	0.0	0.015	0.0	0.007	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.005	0.0	0.003	0.0	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0DE0A486F	0.267	0.023	0.029	0.0	0.424	0.074	0.95	0.005	0.0	0.502	1.166	0.07	0.073	0.351	0.285	0.081	0.765	0.261	0.423	0.0	0.0	0.369	0.007	0.037	0.0	0.189	0.398	0.0	0.199	0.055	0.571	0.946	0.487	0.037	0.044	0.0	0.0	0.387	0.011	0.0	0.015
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0E00478B4	0.267	0.023	0.029	0.0	0.424	0.074	0.95	0.005	0.0	0.502	1.166	0.07	0.073	0.351	0.285	0.081	0.765	0.261	0.423	0.0	0.0	0.369	0.007	0.037	0.0	0.189	0.398	0.0	0.199	0.055	0.571	0.946	0.487	0.037	0.044	0.0	0.0	0.387	0.011	0.0	0.015
PGF	P49763	False	PLGF_HUMAN		CPI-SS0855C0353	0.656	0.021	0.291	0.0	0.013	0.0	0.339	0.048	0.0	0.011	0.0	0.008	0.017	1.721	0.095	0.0	0.027	0.018	0.019	0.058	0.016	0.0	0.267	0.009	0.014	0.009	0.011	0.019	0.0	0.015	0.016	0.017	0.0	0.019	1.062	0.178	0.045	0.401	0.013	0.0	3.209
PGF	P49763	False	PLGF_HUMAN		CPI-SS0D22A09AD	0.656	0.021	0.291	0.0	0.013	0.0	0.339	0.048	0.0	0.011	0.0	0.008	0.017	1.721	0.095	0.0	0.027	0.018	0.019	0.058	0.016	0.0	0.267	0.009	0.014	0.009	0.011	0.019	0.0	0.015	0.016	0.017	0.0	0.019	1.062	0.178	0.045	0.401	0.013	0.0	3.209
PGF	P49763	False	PLGF_HUMAN		CPI-SS0E61DB5DF	0.656	0.021	0.291	0.0	0.013	0.0	0.339	0.048	0.0	0.011	0.0	0.008	0.017	1.721	0.095	0.0	0.027	0.018	0.019	0.058	0.016	0.0	0.267	0.009	0.014	0.009	0.011	0.019	0.0	0.015	0.016	0.017	0.0	0.019	1.062	0.178	0.045	0.401	0.013	0.0	3.209
VEGFB	P49765	False	VEGFB_HUMAN		CPI-SS033E6DE7E	0.203	0.145	0.043	0.046	0.115	0.313	0.27	0.119	0.325	0.117	0.146	0.08	0.079	0.238	0.102	0.578	0.248	0.065	0.094	0.03	0.144	0.171	0.159	0.122	0.208	0.205	0.099	0.206	0.238	0.086	0.075	0.148	0.103	0.104	0.121	0.0	0.201	0.3	0.1	1.162	0.178
VEGFB	P49765	False	VEGFB_HUMAN		CPI-SS0947A8549	0.203	0.145	0.043	0.046	0.115	0.313	0.27	0.119	0.325	0.117	0.146	0.08	0.079	0.238	0.102	0.578	0.248	0.065	0.094	0.03	0.144	0.171	0.159	0.122	0.208	0.205	0.099	0.206	0.238	0.086	0.075	0.148	0.103	0.104	0.121	0.0	0.201	0.3	0.1	1.162	0.178
